Q9FHH5	GDU3
F4KEM0	At5g45720
Q6YUB8	BRXL1
Q41365	RPT1
Q9SJZ2	PER17
Q9LIB2	PHS1
Q8RWZ3	IBR3
Q9M3D2	RPL35C
C0LGQ9	GHR1
P92519	At2g07683
P92519	AtMg00810
P0C389	petA
Q8VYW2	BAM9
Q93YV7	At4g14360
O83142	TP_0104
P26505	hemA
Q9LIQ9	BLI
Q42575	MYB1
Q5W9E7	MUS81
Q28944	CTSL
P22152	crnA
Q9LFQ4	At5g15010
Q7ZYV9	sympk
Q9LV85	CPR5
Q6NMK1	GXM1
Q93W95	QUA3
Q94BY9	RABGAP22
Q8W4I7	CPK13
Q5W770	Os05g0352700
B1LAP4	argG
Q8H2D5	POLH
Q24208	eIF2gamma
O17732	pyc-1
F4KD71	DUR3
P38389	At2g45070
Q8RY00	SIA2
Q93VK0	PPCK2
B6EUA9	PRP40A
Q9FJI5	G6PD6
P11012	crt-1
Q8W4M5	PFP-BETA1
O24600	RPOT3
Q6NQJ7	FRS4
Q7XKC8	PYRD
Q9FJX6	FH6
Q9SYP1	BRR2A
P0C043	At4g17915
Q9M9C5	At1g68400
Q9FML2	HDA6
Q8GSM7	HST
Q8L6J3	RPOT2-TOM
C0SQ89	CMT3
P51813	BMX
P53991	PETH
F4IHS2	SYD
Q8LPL6	ALPHA-ADR
Q3SZ18	HPRT1
Q9BZH6	WDR11
F4JAU2	SAC3B
O24648	LE
P0CT43	Tf2-8
P47912	FAA4
Q8LRK9	TAF1
Q9SCT2	PCMP-E85
Q8LL04	CPL3
P40525	RPL34B
P61210	ARF1
P24555	ptrB
P46518	LEA14-A
P57681	FCLY
Q7ZYC4	acsbg2
B8XCH5	QKY
Q9H7Z3	NRDE2
Q94A27	SAC2
F4I1S7	ELP2
F4IIU4	AIR9
Q42910	PPD
P29742	Chc
Q6IQ86	brk1
Q69VD5	PHN1
Q8L7S4	MAP70.2
Q38998	AKT1
Q7X7L3	ELP3
Q9SVD0	SMXL3
Q9SJ44	UEV1C
Q99315	TY3B-G
O49318	At2g33170
Q9VK68	CG6153
Q00624	Bp10
Q8LPF0	TAF2
Q9C5S2	IRE1A
Q6AUV1	XDH
Q8LF21	DRP1C
Q9M0G2	At4g29190
Q2R1V8	GME-2
Q9C102	glt1
O48716	JGB
O04226	P5CS1
P49154	RPS2
P10079	EGF1
Q9C8Z4	At3g06530
Q9C5Y0	PLDDELTA
O49743	GATA4
Q5VJL3	gdt9
A0PGB3	SKP1
Q7NMG4	tgt
Q0WP44	HST1
O15819	H3a
Q9ZVQ6	PP2B10
Q9SY66	FRS11
P34121	coaA
Q1IMI4	leuD
Q6DEY7	epabp
C5XX79	Sb04g025390
Q7XZU2	SAC3
Q67W29	DAPB1
Q69PS6	Os06g0327300
Q96551	SAMS1
P07038	pma-1
Q704U0	xpo7-a
Q9SS90	RGLG1
O04006	PSAH
Q9LX29	ACR4
Q9XID0	FAB1D
Q9FFK6	NUP88
Q8RXN3	PPT1
Q9VCA8	mask
Q54QU8	DDB_G0283629
E3SXU5	BHLH
Q0MQH5	NDUFS6
Q9LVQ8	At5g66720
Q43870	APS2
P11718	H1A
Q95UQ1	rdiA
Q15555	MAPRE2
Q84Q77	HSP17.9A
Q7Y1B6	GAI
Q8LB88	RGLG5
Q60848	Hells
Q9C6I8	At1g50920
Q6ETK9	ADIPOR2
Q8LBZ7	SDH2-1
Q7DM58	ABCC4
Q6PDG5	Smarcc2
D0N761	PITG_07062
P13443	HPR-A
P49504	rps17
Q9Y7Y2	slu7
P67829	CSNK1A1
P46467	Vps4b
O49545	BAM1
Q9ZV36	UXS6
Q0INW1	Os12g0285500
O22504	GLN1
Q54BM5	sf1
Q9SL70	TCX6
C0LGG8	At1g53430
Q9S9N1	HSP70-5
Q5D869	NRPE1
Q8GYP6	At1g18900
A2CIR5	NPR4
Q8S528	ALDH2B7
Q6C5G5	set-2
P55811	LEU1
Q5I0E9	Slc47a1
Q8L9C4	KCR1
Q9UA35	SLC28A3
Q9C1W5	pam16
O97755	ATP6V1D
F4IN58	At2g48060/At2g48040/At2g48050
P26817	Grk2
Q5S2C3	PIR
Q8LAP6	PAP12
Q9FLD7	GLCAT14A
Q8CEL2	Cfap61
Q5BMR2	PLD
Q54RF3	eif2b5
Q6P6Y1	relch
Q8LI30	DPE1
Q9C5X3	KEU
P39661	nirA
Q20230	F40F8.1
Q9FLD8	At5g39980
Q54VQ7	hdaC
Q9LI74	CHUP1
Q9VJD2	Lamtor3
Q8LFN2	At3g03770
Q9VVE5	Rbp6
Q9LQU7	MAP70.4
Q92353	ubp6
Q66H20	Ptbp2
Q6NPS8	ATR3
Q940Y9	At5g43745
Q7XWP1	Os04g0252200
Q6YWR4	HOX16
F4IIM1	CSI1
Q8NFA0	USP32
P54680	fimA
Q6P6T4	Eml2
P47209	cct-5
Q9SIE1	PAT
Q4V399	rsgA
P52884	SAR2
Q9AUE0	CALS1
Q9SX98	AATL1
Q605B4	rplW
Q42857	WAXY
O64766	PCMP-E15
Q9X6W8	clpP
Q9DC07	Nebl
Q5XF09	At3g11320
Q8GXJ1	HDA15
P92520	At2g07683
P92520	AtMg00820
Q7XIV8	HAK9
O94550	phb2
Q5ZKD4	NPL
Q9LUD6	At3g14580
Q9ASZ9	At1g60730
Q0WVF8	MMS19
Q9SIW2	DRD1
P22570	FDXR
Q1LZA0	PIGB
Q641W7	Ttll9
Q9FIN7	MIP2
P02994	TEF1
P02994	TEF2
B7NFW8	pgi
Q8WML3	KAT6B
A0A0S0FTT9	ARO7
O49506	GLO5
P31327	CPS1
Q3T093	NECAP1
Q90965	RAB2A
A5H0J3	URC4
Q1DY01	SEC23
O23140	AP2M
Q84ME1	LUL3
O22307	CYP71D11
Q9Y606	PUS1
A0A1P8AUY4	MDN1
A4SZV5	groES
Q9LXH0	NRT2.6
P0CQ80	DHH1
Q5AW69	AN7461
Q86C65	tor
F4HNU6	At1g06900
O42650	rio1
Q24VT7	htpG
Q62774	Myo1a
P0CR38	SEC23
Q588V7	TEB
Q8L999	BPC6
Q9FJW6	DG1
Q8W0Z9	CCR4-1
P73133	argD
Q9SFU6	CALS9
C0LGH8	At1g63430
P70392	Rasgrf2
O22633	NOI4
Q8GZ42	ATX5
Q0WVX5	SS4
Q9C516	XLG3
Q23892	gluA
O04266	SAR1A
Q9ZU97	VAC14
P43101	NIA
Q9LTW9	FLA14
Q9XIL9	PEX3
Q6B6R4	WRKY24
Q6YW62	ABCG44
Q680K2	At4g39970
Q7ZTN8	cops3
Q9FNA4	ELP1
P46295	RPS14
Q9FFF9	APC1
G7ISB0	FAAH
Q9M0G7	MIK1
Q9C5Y4	SMC2-1
Q8Y8Q5	lmo0841
Q54T85	tra1
A7SDW5	v1g169424
Q9FKI0	FIM5
O01727	RPS6
P61354	Rpl27
Q92365	rpl3601
Q6ESI7	TPP2
Q80Z71	Tnn
Q5ZKI4	CCDC93
Q5BCC5	AN1805
C0LGH3	At1g56140
P19023	ATPB
Q9XGN1	TTG1
Q9M1E7	TET3
Q42374	KN
Q15181	PPA1
P94170	ecaA
F4JUU5	S2P
E2JA31	ddaF
Q7VUL8	ahcY
P02640	VIL1
P35130	UBC2
B1AC87	GIP2
Q7K4B6	Tmtc3
Q8LDU5	At4g01400
A8WIP6	cdk20
O74113	sna41
Q8GZ87	IQD28
Q570Y6	ADF8
P49132	TPT
Q06625	GDB1
Q6VAA5	UGT89B2
Q9QXL2	Kif21a
O34399	gltB
Q6PGB8	Smarca1
Q6QEF8	CORO6
Q9SRW9	CSLD5
Q28620	SLC34A1
Q40565	RCA
Q8L796	PIP5K2
Q7XLD4	ZIP3
Q91398	csnk2b
A4GNA8	PSD3
P42525	erkA
P49317	CAT3
Q42564	APX3
Q68WD0	rplT
Q8H1H9	CuAOgamma1
Q8YSU5	alr2987
A6N6J5	Wdr35
Q9LIG2	At3g21340
F4JZG9	TERC
O94432	SPBC660.15
Q9EQN5	Ighmbp2
P20664	Prim1
Q9FNY2	DPB
Q8H0V6	ABCF3
Q9AR73	AS
Q93WC5	At4g01990
Q9SSK1	SYNC3
Q9M315	KPHMT2
Q10PR4	HSFA9
Q9C912	RPL35AC
Q9LVD8	At5g57200
Q8W489	RAD4
P24493	HEMB
P04323	pol
Q0DLB9	RH17
B9F655	IRL7
Q9FHA3	POLA
Q1CZI7	htpG
Q9FPS0	UBP27
P54697	myoJ
P37306	arcC
Q803H4	cenpa
Q9SDG8	AGO4A
P45478	PPT1
A2YGP6	USP
Q9LTK3	HDG7
F4K1J4	ATXR7
Q01890	YPT1
P24798	ATP1A3
Q55DY8	mcfF
Q3MHN0	PSMB6
Q13823	GNL2
O48788	At2g26730
Q00598	PETH
Q940X7	RBX1A
A6MMJ9	rpoB
Q8VZI8	FTSH10
Q9LUW5	RH53
O81970	CYP71A9
P18061	CALA2
P22953	HSP70-1
Q20799	F55A11.4
Q6H7U2	Os02g0161200
P33632	TUBB3
Q8GTS0	IP5P4
Q7RTR2	NLRC3
Q9C698	FPP6
P0DH62	SELMODRAFT_444075
F4I8B9	At1g65010
Q5Z8P0	Os06g0717800
Q8W4K5	VAB
P73577	slr0889
Q9LHP4	RGI1
P54644	pkbA
F4HZB2	SPI
Q1PEM5	PERK3
P11216	PYGB
Q8VWN6	RFS
Q8N0W3	FCSK
Q0WL80	UGGT
Q8RWZ7	VHA-a1
Q8PA97	serC
Q9JHU4	Dync1h1
Q9FKA5	At5g39570
O14134	elf1
Q08DQ2	GFPT2
Q9MAH4	ABCG10
O24023	NCED1
Q8VXX4	RFC3
Q9LUG9	MED33A
Q9SF37	MCM8
Q5RFH3	NME2
Q9FG71	EMB2731
Q54LY1	DDB_G0286311
A5GQT3	msrB
Q9LHD1	ABCB15
P06605	alphaTub84D
Q9LXG0	ZHD8
F4IGA5	NUP133
F4I893	ILA
Q9FHQ1	At5g37690
P0C6F1	Dnah2
Q56YP2	PIP5K1
Q84WP5	At2g36330
Q9DC70	Ndufs7
Q8LLD4	REP
Q9L6B8	purF
Q5E915	RBL
Q9C723	At1g55090
Q93YU6	At3g56120
Q0WSF1	ALDH22A1
Q5R3I4	TTC38
Q8DII3	gcvP
O24111	RPS5
Q27532	his-74
Q5RGU1	coq8a
Q9LV66	At5g48480
Q8S9M4	PCMP-H29
Q8S9H7	DIVARICATA
Q17607	cel-1
Q54NZ1	memo1
Q8H965	NPC6
Q9BJZ5	fus
Q8W486	OFUT1
Q54BU4	abcB1
Q54I90	ndufv1
Q9CAN0	At1g63130
Q5BJS4	Fundc1
Q9LE81	IRE
Q8C0R7	Zmynd15
O15160	POLR1C
F4IRU3	XI-F
O94342	SPBC1271.09
Q9MYX0	SLC6A4
F4K4J0	THO5B
Q9FJX0	CYP65
Q41495	STS14
F4I316	SUN3
P0DKL6	SAP130B
T2KMF9	pgl
A8NS27	CC1G_03009
Q8A128	clpX
Q84ST4	NOL
P0CT40	Tf2-9
Q6F2Z1	STT3A
O82266	SWA1
Q5Z987	Os06g0724700
Q8VYC8	RIN2
Q8L9T7	AHP5
Q9P7W0	SPBC1703.11
P34145	rac1B
O22040	ANP1
A0A0P0X004	HMA9
Q9BXS0	COL25A1
Q9SGH2	MBD9
Q9LK76	IQD26
Q38896	CSP4
Q869N6	DDB_G0271866
Q54UW5	rvb2
P39098	Man1a2
F4IK01	AUG1
Q91YE6	Ipo9
P72926	sll1024
Q93YS6	GTE9
O65570	VLN4
Q5B0Z5	pno1
C0LGE0	At1g07650
P0CT39	Tf2-6
Q5VQ09	KINUB
Q5F973	purM
Q9C5Z2	TIF3H1
P16097	PPC2
Q95V39	RpL8
Q9SZY7	VHA-c''1
Q10178	prp10
P32660	DNF1
P92523	AtMg00860
P33192	RPS13
Q8RXD4	BRCA1
Q9VWH8	ksh
Q8W4S4	VHA-a3
Q5G1T1	EMB2261
Q01859	ATPB
P85107	Tgs1
Q9BUY7	EFCAB11
Q9M886	LBD41
Q99NB1	Acss1
P83783	SAH1
F4HVZ1	CATHB1
Q93VC7	RPS1
P08574	CYC1
Q5RAQ8	RPS24
P81004	vdac2
Q9Y3A2	UTP11
Q84V22	PSD1
Q8HZK2	DUOX2
O13792	uap56
F4JRP0	At4g18820
Q8GVF9	4CLL8
P25870	chcA
P9WND5	lldD
P21569	CYP
Q8L7B5	At2g33210
Q0JJD1	PYRC
P63245	Rack1
Q94KB7	MLO6
Q42592	APXS
Q3E7Q9	At5g25310
Q60482	CRCP
Q94A41	AMY3
Q08DK7	SLC25A29
Q58DT1	RPL7
Q02784	GRX5
O93309	smc3
Q5W6M3	Os05g0344400
Q9VCA5	beta-PheRS
P21529	CBP3
Q8BGF3	Dnaaf10
I6VSD2	TMEM147
Q8LB60	CYCU3-1
Q39566	GSA
P23787	vcp
Q9UVC3	CYP51
G5ED68	mtm-6
A8MR21	IP5P10
Q9LTV6	At3g12800
Q9FHM7	HIR4
Q55BF2	nmd3
Q7UFS3	guaA
Q8GX69	BGAL16
Q9LKI5	UVH1
Q61233	Lcp1
P95596	lpd
D0MYB4	TEF3
Q6ZDQ1	Os07g0195400
Q9XIR4	APO1
Q89WV5	acsA
P53490	ARP3
Q9FMR5	VAMP714
O64530	STR1
O08586	Pten
Q9LW32	PCMP-H34
Q9ASS6	PNSL5
Q84WC6	UBP7
Q5RCE3	PELO
Q6ICZ8	At5g13850
O49459	NAC073
P93531	CYP71D7
O81906	B120
Q8GWI5	At4g18257
Q9FFN2	At5g03795
Q9LXX6	SEC15A
P61973	mdh
Q84VW5	MED32
A0A1P8B590	IQD19
O48771	AGO6
Q0WQ75	VPS51
Q1ECV4	ttll3
Q54EW1	shmt2
Q0WVW7	RECQL5
Q9SD62	At3g47110
Q9FFQ1	RH31
Q7FMW4	ABCG38
P59671	rpl-3
Q9FJA6	RPS3C
D2HD32	MRPL58
Q9HM89	tuf
Q54CM0	ppt3
Q9YIC0	eef1a
O13923	crn1
Q7RBX5	CK1
Q7Y220	PLIP1
Q9SBA7	STP8
Q9LU89	B'ETA
Q38910	XTH23
Q5BGB9	sar1
Q9LIP2	PBE2
E1V7V7	doeD
P09189	HSP70
Q5RIC0	elp3
Q3UDW8	Hgsnat
A8IXB8	ARSA2
G3XLL5	albA
Q2NEL1	tuf
Q92241	PHO85
Q6R4Q5	SLC5A10
A2X0Q0	PHR3
Q9M4G4	PGM1
Q9Z2K9	IDH1
Q54YP4	vps11
Q8VY09	DJ1C
Q7T6Y2	MIMI_R831
Q5W7C6	KIN5A
A3EWL3	REV1
Q8T882	tadh
Q8ZRS8	acnB
Q9FGN3	At5g51380
Q5ZLC5	ATP5F1B
Q9FVU9	CSN5B
Q9M9G7	At1g71790
Q8R491	Ehd3
F4JGZ1	MED16
Q94CK0	WSD7
Q9M0V0	MFDX1
Q9UQP3	TNN
P58818	phr
Q9LSJ6	ABCB17
A8X6H4	cmk-1
F4J9M5	CHR12
P49249	IN2-2
Q9SS80	OPS
Q9LFF9	PPA4
Q6DW76	DGD1
Q9SZ15	LIP5
Q9M0A4	CNGC9
P93039	NAT4
Q69T31	CINV1
Q9FF52	RPL12C
A7RLE5	v1g160099
Q7ZWU1	stip1
P93285	COX2
A9NF54	rplU
Q8GY61	BHLH63
P09831	gltB
Q9LJX0	ABCB19
Q7XBS0	DUR3
P73925	glbN
Q10RB4	Os03g0165400
A8PXR7	MEF1
Q109G2	Os10g0503700
Q9WVM8	Aadat
Q9C635	HSFB4
Q9FHF1	ABCB7
P74523	slr1419
A3B9A0	ARF16
Q72YK9	menE
Q9VUV9	Brr2
Q94IB9	ACER
Q8S2A7	FTSH3
Q66I24	ass1
Q09747	dbp5
O14832	PHYH
Q90YV8	rpl10a
B1WC61	Acad9
Q9M363	At3g61750
P36408	gpbA
P09437	CYB2
Q80XR2	Atp2c1
Q9USH8	gtb1
Q7XJ96	DRC4
Q5W727	SCP26
Q9M111	SUS3
Q9LI00	G6PGH1
F4KCC2	PRT6
Q8N9H8	EXD3
Q9MAU3	TAF6
Q9U3Z7	hoip
Q9W0Y8	NaCP60E
Q9LDD8	MCCB
B8AW64	2
B8AW64	NAP1
Q9UR07	Tf2-11
P55189	ybaR
Q05062	cdc-42
A0A1D6LAB7	RH3B
Q795R8	ytfP
Q99323	zip
Q9XEE9	ALG11
Q7XM31	RDR2
Q9FFR9	CHX18
Q8H1E6	OFUT9
Q86B00	glnA1
Q9LEY1	SCPL35
Q9LIR4	DHAD
Q9SRZ6	CICDH
Q8W593	At1g67280
O23277	PRD1
P31046	lpd3
Q54YD8	copb2
Q2TAS2	smurf2
P21772	rps-26
Q9P1Y6	PHRF1
Q9JLT4	Txnrd2
Q552U1	lsm6
A6QLI0	EPDR1
Q16254	E2F4
P27322	HSC-2
O96013	PAK4
O04714	GCR1
P52421	PUR2
Q96518	PER16
F4I443	BARD1
F4I7L1	At1g17520
Q7TD08	ORF V
Q9LMT8	HDG12
Q9SSE9	JMJ25
O48649	ARF1
Q9FGI6	EMB1467
F4IG73	BCHC2
O82504	RDR2
Q4R6F8	CCT2
Q9CA40	NUDT1
Q9FHT4	TMN4
P14576	Srp54
Q9UNX4	WDR3
Q9URW9	SPAC922.07c
C0LGQ5	GSO1
O82797	PCNA
Q9P802	mis18
O94275	mug30
P34144	rac1A
Q9LT02	PDR2
Q9LZD3	EXO70A1
Q8GYU3	IYO
Q8RXH2	NUP85
Q9US42	urg3
Q0AKC9	hslU
Q9SGG3	ALA5
Q7V1E1	rsmA
A7LFZ6	DCL4
F4HZF0	KIN14H
Q6PI26	SHQ1
O49485	PGDH1
Q2KHS5	mogat2-a
P02581	SAC1
B8H5B6	CCNA_03496
Q9Z0F8	Adam17
Q31RS5	aroC
Q9S972	SD16
Q8R3F5	Mcat
P23225	GLSF
Q7PC79	PSD
P42025	ACTR1B
P13022	acpB
Q54JE4	ogdh
Q6AXB1	armt1
Q84MP7	Os03g0743400
Q5ZC88	CUL1
Q9ZV87	At1g78690
P67777	PPP2CA
A2WXU2	ZIP4
O64481	SBT2.5
P36182	HSP82
O80952	PGPS1
Q869T7	pakF
Q63942	Rab3d
P34540	unc-116
Q9C5X9	HAC1
Q9SF85	ADK1
Q42410	ZAT12
Q27GI3	NAT6
Q54NC6	anapc1
F4J7A7	PPD7
Q6CU99	SMP3
Q7YR39	DHX16
F4INA9	RECG
P35749	MYH11
Q94JQ6	CESA6
F4HRV8	ASY1
Q8RXC8	RBK2
Q93YR9	ARF16
P53585	acly-1
Q54FK1	hddc2
O17606	C27H6.8
Q6GR45	eif6
Q70G58	Os07g0657900
B4F9A4	DMAS1
Q3SZ10	RPL3L
Q8GZA6	At1g71210
F4IXE7	IDM1
P52009	cyn-1
O82491	SPT16
Q07429	nrgA
P09648	CTSL
Q9LFD5	BPA1
Q4PI89	SPT6
Q93WV5	WRKY69
Q9HE12	SPAC1399.01c
Q84JH7	SIRB
Q52KK3	Slc25a51
Q0WUR5	FAB1A
Q9FH92	IRX15-L
Q9C6L1	IPT6
P62264	Rps14
Q54S77	vps15
Q69SG5	Os09g0533900
Q13526	PIN1
A8XV40	spas-1
O60573	EIF4E2
Q9BPX3	NCAPG
Q4WLN1	acoA
P48722	Hspa4l
Q53NI2	Os11g0191400
Q501V0	pskh1
Q94AC1	STR6
Q8W425	RPN7
Q8W3M4	At4g06744
Q6EX42	PIPK1
P77529	tcyP
O23710	PBB1
P59277	SYP81
P62864	Fau
P60039	RPL7C
Q8RWW0	ALE2
Q9ZSQ4	PGM1
O04647	EMB976
Q75JI3	nsfA
Q9LY71	CKX6
Q7PPA5	SERCA
F4IK92	TOR1L2
Q38898	AKT2
A3AVP1	CKX8
Q9C9U0	At1g73710
P08955	CAD
Q10099	seh1
Q9SUM2	At4g30220
Q84RK2	FAP2
O81644	VLN2
Q8L5R3	TFCD
Q54QY3	yipf5
Q9FU27	Os01g0192000
P07259	URA2
P04772	glnII
P48159	RpL23
P86216	TPI1
Q54KE6	mccA
Q5F3V3	PDS5A
Q8H594	WDR12
Q9XGL4	RPL31
Q8FLM0	leuS
Q8L7A9	At1g31730
P80035	LIPF
P12378	UGDH
A2XA73	GRF1
A2Y8B9	PRMT7
Q09225	nrf-6
Q96519	PER11
P05661	Mhc
P34308	clp-1
Q9FLC2	MO3
Q23457	rbx-1
Q9VE46	ChT
P13395	alpha-Spec
Q9LFN6	RH56
O75005	vas2
F1QGW6	eif2s3
Q9Y6X6	MYO16
Q9SYY4	HOS3
Q8H443	AP2-3
Q944G9	FBA2
P09440	MIS1
Q84M24	ABCA1
Q14677	CLINT1
Q9H270	VPS11
Q7ZUX1	polr3c
Q8J1L3	ahsb4
Q9LVP0	At5g63930
Q569Z2	xpo7-b
B6SGC5	CNR6
Q10QH1	SAT4
P51659	HSD17B4
Q568D2	cfap161
P54609	CDC48A
Q5RAF3	NMT1
Q9SLH7	PER20
Q08770	RPL10B
Q9ZQE5	PCMP-H66
Q5NVN7	SAE1
Q9STH1	HOP3
Q9FWC1	Os10g0521000
Q9C6B2	NRAMP2
Q9FNN7	PCMP-E20
Q9FWQ5	HAC12
Q9ZQ34	At2g24330
F4K2E9	CUV
Q8GTY0	A4
Q0WUZ5	OFUT39
Q9LFT8	CDKC-1
I6XHJ3	fadA6
F4HX15	PLA1
P27061	APS1
O49285	ACR3
Q9ZS34	CHLP
Q0WL81	RNL
Q71B07	Dpy19l3
Q7UUZ7	ftsH1
P14019	ODC1
P36007	SRY1
P27482	CALML3
Q9ZV15	CPK20
I1Z695	ER2
Q8CFQ3	Aqr
Q9M8K5	HIPP32
Q9FGS4	QS
Q54J08	accA
Q9SYL9	RPL13
Q9LRJ9	CRRSP38
Q9LUD7	CALS8
Q8W103	CHR24
Q8LGU1	ABCC8
G5E8P1	Brd1
Q9C5X4	ATX1
Q9XEE8	PP2C5
Q8W4I6	BPG2
Q9Y1W0	fadA
P28339	POLD1
Q9SBL3	CHS6
Q9STM3	REF6
Q54RJ1	cnrB
Q6F353	Os05g0235800
A9QY40	SBTM1
Q5ZJL9	SAMHD1
A5EY31	gatA
Q6EE31	CCT8
F4JEX5	FIGL1
P49693	RPL19C
Q983S4	groEL4
A5N6Y3	glnS
Q6PBH5	ndufa4
A7SLC8	nat9
Q05650	glnA
Q27597	Cpr
P26859	RPL2
Q64514	Tpp2
Q6L4F8	RACK1B
O49662	AHL24
O44125	RPL37
Q710D6	COX5B
Q9XER9	HUA2
B1XQF6	dnaJ
Q814B1	groES
O59868	pmr1
Q65XK0	Os05g0573700
Q9LSM5	At5g65490
Q9SR22	PAE5
Q8LPJ5	At5g14590
O46160	RPL14
Q5Z856	ADCS
P0CM30	ATG2
P05689	CTSZ
Q9FK63	CAMRLK
P0C5J3	B9d2
Q9SDT1	POR1
P46935	Nedd4
Q9M3B9	ABCB20
P74494	ndk
P56333	EIF5A1
P56333	EIF5A2
Q08585	FCPB
P41753	HSP70
Q757T0	HUL4
O60071	SPBC13G1.09
P36428	ALATS
A8IB25	CHLREDRAFT_126059
Q2TXG4	oryR
Q8H1U5	APC2
Q9MA92	FPP3
Q52T38	PAT24
Q9V3S9	bgm
Q9FM04	At5g62930
Q66L58	vac14
P33188	bPT2
P33188	bPT3
Q8K194	Snrnp27
F4KE63	EMB2247
P08414	Camk4
Q08DZ8	PRIMPOL
Q9CAZ7	SSL5
Q24117	ctp
Q07307	uapA
Q2TA06	AURKA
O95163	ELP1
Q84R21	CBSDUFCH2
Q9LDD5	PYRP2
O46629	HADHB
Q4P733	DED1
Q641K1	Agtpbp1
Q949S9	MOS4
Q99MD6	Txnrd3
Q8LPK4	ALPHAC-AD
Q8BW72	Kdm4a
F4KDA5	OCT1
Q2H102	BST1
Q90YW2	rpl7a
A6YB01	tkt
O67716	asd
F4IF99	LPXB
O64816	CKA4
A0T0M6	psaL
Q0WVZ1	At3g03305
Q8GRL4	HOX19
O95714	HERC2
Q96VB9	MSI3
P46032	NPF8.3
Q9FIZ7	OXP1
Q84WF6	TET5
P43783	gor
Q5I0H4	Tmco1
Q91YA2	Pskh1
Q08BT5	relch
Q58375	cobA
P93664	LHCSR1
Q9EPR2	Pla2g12a
O25067	amiE
Q1PDI2	DGK4
Q9C5J3	RRC1
O14460	eft201
O14460	eft202
Q08584	FCPA
A5DN78	TUF1
Q64331	Myo6
Q18885	icd-1
P0DO24	PSI3
F4K3G5	EDM2
Q9R1S8	Capn7
Q8MXQ3	DDB_G0275853
Q84QU8	PPT2
P0DI07	HISN6B
P54928	IMP3
Q7XUR3	Os04g0560400
Q9SMV6	XPO1
Q9Y6R1	SLC4A4
Q9SRU2	BIG
P38999	LYS9
Q9VHI4	Sf3b5
O94631	mrm1
Q8EAJ0	dusA
O82261	DEGP2
Q40034	BLT63
O74024	gdhA
Q8MYF1	DDB_G0277449
Q9Y6N5	SQOR
P0DKC4	PGLP1B
Q5KKP4	SSA1
Q9CAV7	At3g04930
Q94K49	ALP1
P04146	GIP
A0A0B6VQ48	PAR
Q11067	pdi-6
P13060	eEF2
P9WHH5	sthA
P61258	PCNA
A1A5G0	clasp1
Q54VM3	tbc1d5A
Q9ZUZ6	WTF9
Q2HXK9	RBOHD
Q9ZNT0	SKD1
O42939	uba2
P42862	Os03g0776000
Q01N44	FAAH
Q8H0T9	KTN80.4
Q9Z2Q4	Mtr
F4JN26	MLH3
A9UNU6	bysl
P28330	ACADL
Q9W332	Cubn
Q05866	BIP
F4HPR5	DRP5A
O96647	RpL10
P25781	TACP
Q8W0Z7	At3g05190
Q9LXB4	At5g10620
Q9SLF3	TOC132
F4J3N2	FTSHI5
B9DFR3	PAE9
Q93VV0	PAT16
Q8H116	MNS2
Q7XA39	RGA4
P29844	Hsc70-3
D2WL32	SBE3
Q0QLE4	Dml
P22670	RFX1
Q6ZQK0	Ncapd3
Q96282	CLC-C
Q84XV2	GTE1
